,Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
993,2015,08/01/2015,EQUINE DEATH,Saratoga Racecourse (NYRA),5/8 pole,Racing,Thoroughbred, ,Innovation Economy,CHAD C. BROWN,IRAD ORTIZ JR,Innovation Economy-Tr. Chad Brown-pulled up-fractured RF leg-euthanized (x-ref Case  #314.15 PRP from euthanization drugs),Equine Death
994,2015,07/31/2015,RACING INCIDENT,Saratoga Racecourse (NYRA),After finish,Racing,Thoroughbred,80* Clear,Z Big Apple,DARRELL W. LUKAS,ERIC CANCEL,Z Big Apple-Tr. D. Wayne Lukas-pulled up-ambulanced off-injured tendon in leg and will be retired from racing., 
995,2015,07/31/2015,STEWARDS/VETS LIST,Finger Lakes Gaming & Racetrack,1/4 Pole,Racing,Thoroughbred,Sunny / Clear 80's,Awesome Lute,ADRIANNE N. D'ALESSANDRO,JOSE M. RIVERA,Awesome Lute-Tr. Adrianne D'Alessandro-pulled up-walked off-no injuries found-must requalify,Steward's List
996,2015,07/31/2015,FALL OF HORSE,Saratoga Racecourse (NYRA),After finish,Racing,Thoroughbred,80* Clear,Zip's Legacy,MARK E. CASSE,SHAUN X. BRIDGMOHAN,Zip's Legacy-Tr-Mark Casse-fell-walked off track-no obvious injury or problem detected,Steward's List
997,2015,07/31/2015,FALL OF HORSE,Batavia Downs,first turn @ start,Racing,Harness,partly cloudy - 79 drgrees,Herbie Is Gone,MAURICE BAZINET,RONALD C. BEBACK JR,Herbie Is Gone-Tr. Maurice Bazinet-horse choked down  stumbled and fell-no injuries to horse or driver-must qualify,Steward's List
998,2015,07/30/2015,RACING INJURY,Saratoga Racecourse (NYRA),3/8 pole,Racing,Thoroughbred, ,Smooth bert,LEAH A. GYARMATI,LUIS SAEZ,Smooth Bert-Tr. Leah Gyarmati-pulled up-ambulanced off-torn tendon-retired from racing, 
999,2015,07/30/2015,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,While Warming Up,Racing,Harness,Clear,Falcons Luke,GARY L. LEVINE,BRUCE A. ALDRICH JR,Falcons Luke-Tr. Gary Levine-lameness noticed in left hind leg leg-scratched from race,Steward's List
1000,2015,07/29/2015,FALL OF HORSE,Saratoga Racecourse (NYRA),Saratoga Race Course,Racing,Thoroughbred,Clear,Cul Baire,JAMES M. DAY,THOMAS P. YOUNG,Cul Baire-Tr. Jimmy Day-fell going over last jump-horse and rider uninjured,Accident
1001,2015,07/28/2015,EQUINE DEATH,Yonkers Raceway,On track,Racing,Harness,Clear 95 degrees,Image of Luck, ,DANIEL DUBE,Image of Luck-Tr. Charles Sylvester-DNF-horse walked off-exam revealed laceration to F/L cannon bone-removed from track to hospital for further examination-euthanized due to severity of injury,Equine Death
1002,2015,07/28/2015,EQUINE DEATH,Monticello Raceway & Mighty M Gaming,Main Track,Training,Harness,Hot / humid,Rainin Fire,ANTONIO GRILLO,PAUL M. WALKER,Rainin Fire-Tr. Antonio Grillo-fell warming up-sustained fx L shoulder-poor prognosis-euthanized,Equine Death
